Name,Price,Stock,Description,ImageURL,CategoryName
Home Vision HVIP01,500000.00,100,"Home Vision HVIP01 là thiết bị giám sát an ninh trong nhà độ phân giải cao kết hợp với khả năng nhìn ban đêm mang đến chất lượng hình ảnh rõ nét thậm chí ở những vị trí không có ánh sáng. Góc quan sát rộng giúp gia chủ, người quản lý có thể theo dõi, kiểm soát toàn cảnh khu vực hộ gia đình, văn phòng, xí nghiệp, cơ quan, cửa hàng một cách dễ dàng.",http://www.vnpt-technology.vn/storage/photos/shares/products/Camera/HVIP01_3.png,TD: Camera Gia Đình
VNPT Smart Camera IS310P,500000.00,50,"VNPT Smart Camera IS310P – Giải Pháp Giám Sát An Ninh Hiện Đại
VNPT Smart Camera IS310P là thiết bị giám sát an ninh trong nhà, giúp người dùng dễ dàng quan sát không gian và con người thông qua ứng dụng ONE Home trên Smartphone và Android TV.",https://www.vnpt-technology.vn/storage/photos/shares/products/Camera/IS310P/Asset%207@4x.png,TD: Camera Gia Đình
iGate XSW240,1000000.00,50,"iGate XSW240 là thiết bị ONT dành cho dịch vụ Internet cáp quang tốc độ siêu cao. Ứng dụng công nghệ truyền dẫn thế hệ mới XGS-PON hỗ trợ tốc độ 10Gbps cả hai chiều downlink & uplink, iGate XSW240 đáp ứng mọi nhu cầu truy cập mạng, xem truyền hình, ứng dụng VR, Mobile Backhaul 4G/5G và hỗ trợ VoIP; mang lại kết nối mạng ổn định dành cho hộ gia đình và doanh nghiệp thông qua kết nối Wi-Fi chuẩn ac tốc độ cao hỗ trợ cả 02 băng tần 2.4GHz và 5GHz.",https://www.vnpt-technology.vn/storage/photos/shares/XSW240/nXSW240%201.png,VT: XGS-PON (ONT)
SmartBox 2 Dual-band,1299000.00,50,"SmartBox 2 Dual-band là thiết bị Set-top Box do VNPT Technology nghiên cứu phát triển và sản xuất.

Thiết bị hỗ trợ Wifi chuẩn ac, hệ điều hành Android Kitkat 4.4 và được tối ưu cho dịch vụ IPTV và Internet TV.

Thiết bị đã được chứng nhận, công bố hợp quy theo quy định của Bộ Thông tin và truyền thông.",/images/products/bf522e88-0988-4a83-be44-7041a88d4820.png,TD: Đầu thu thông minh SmartBox
VIVAS Lotus S3 LTE,3000000.00,10,"VIVAS Lotus S3 LTE là thế hệ thứ 3 của dòng điện thoại Vivas Lotus, điện thoại đầu tiên được nghiên cứu phát triển và sản xuất tại Việt Nam.

VIVAS Lotus S3 LTE kế thừa ưu điểm của các thế hệ điện thoại trước với kiểu dáng trẻ trung, thanh lịch, hiện đại và thân thiện với người dùng.

Thiết bị được tích hợp nhiều ứng dụng độc quyền của VNPT Technology như Call block, Chiêm cát hung, VIVAS support, VNPT Appstore…",/images/products/efd6e632-c0de-4fbd-94c5-c4dd2757c1c6.png,TD: Điện thoại thông minh
iGate T201-HD,350000.00,100,"iGate T201-HD là thiết bị đầu thu truyền hình kỹ thuật số mặt đất chuẩn DVB-T2 của VNPT Technology đã đạt các tiêu chuẩn yêu cầu của Bộ Thông tin và Truyền thông, tương thích với mọi tivi và cung cấp chất lượng hình ảnh sắc nét.

Xem miễn phí nhiều kênh truyền hình, bao gồm VTV1 HD, VTV3 HD, VTV6 HD…

Cho phép ghi hình theo lịch đặt trước hoặc ghi hình thủ công
Tính năng Time-shift: dừng và xem lại chương trình
Hiển thị lịch phát sóng và các thông tin về kênh. Có thể xem lịch phát sóng trong 7 ngày tiếp theo
Phân loại/quản lý kênh đơn giản và thuận tiện cho người dùng",/images/products/07dc8e77-9cb8-47fe-aaea-6f77f79fe976.png,TD: Đầu thu kỹ thuật số DVB-T2
iGate R4G-22N,300000.00,99,"iGate R4G-22N là bộ định tuyến băng rộng không dây sử dụng công nghệ 4G LTE. Thiết bị đem lại trải nghiệm kết nối tốc độ cao, phù hợp triển khai dịch vụ mạng băng rộng tại các khu vực không triển khai được mạng cáp quang thông thường.

Với công nghệ 4G LTE Cat 4 tốc độ đường xuống 150Mbps và đường lên 50Mbps cùng với Wi-Fi chuẩn n 300 Mbps, iGate R4G-22N cung cấp vùng phủ rộng, đảm bảo trải nghiệm video HD thời gian thực và chia sẻ dữ liệu nhanh chóng.

iGate R4G-22N, với việc lắp đặt, cấu hình và sử dụng đơn giản, cho phép chia sẻ kết nối di động tốc độ cao phục vụ chơi game, xem phim, nghe nhạc,… mọi lúc mọi nơi.",/images/products/bbba57df-4622-4ea4-90ce-ff147220ce14.png,VT: FWA và 5G
iGate AP2OH Series,10000000.00,98,"iGate AP2OH Series là dòng sản phẩm bộ thu phát Wi-Fi được thiết kế mang lại hiệu năng cao và trải nghiệm người dùng tuyệt vời, phù hợp cho môi trường trong nhà. iGate AP2OH Series là một phần của giải pháp Wi-Fi tổng thể của VNPT Technology mang lại trải nghiệm di động mạnh mẽ. Ngoài ra, thiết bị có thể sử dụng chung với các giải pháp của các hãng khác cùng tuân thủ các giao thức tiêu chuẩn (RADIUS, CAPWAP, EAP,…).

Được trang bị công nghệ 802.11 ac Wave 2 với ăng ten 4 x 4 MU-MIMO, Beamforming và Band Steering, iGate AP2OH Series đảm bảo cung cấp một môi trường làm việc kỹ thuật số không dây đầy đủ với chi phí tối ưu.

Với tốc độ băng thông tối đa là 1700 Mbps ở băng tần 5 GHz và 300 Mbps ở băng tần 2,4 GHz (tổng cộng lên đến 2,1 Gbps), iGate AP2OH Series luôn mang đến trải nghiệm mạng không dây hiệu nâng cao cần thiết cho các doanh nghiệp, các nhà cung cấp dịch vụ băng rộng không dây và nhà mạng di động (CSP).",/images/products/4fb8ffa7-a597-430d-ae81-a4ef1c86ca16.png,VT: Wifi cho viễn thông và doanh nghiệp
teest,1123.00,12312,1,/images/products/09977cc8-4086-4530-9611-539d1f1c71eb.png,VT: GPON (ONT
Home Vision HVIP03,500000.00,50,"Home Vision HVIP03 là thiết bị giám sát an ninh trong nhà độ phân giải cao kết hợp với khả năng nhìn ban đêm mang đến chất lượng hình ảnh rõ nét thậm chí ở những vị trí không có ánh sáng. Góc quan sát rộng giúp gia chủ, người quản lý có thể theo dõi, kiểm soát toàn cảnh khu vực hộ gia đình, văn phòng, xí nghiệp, cơ quan, cửa hàng một cách dễ dàng.",https://www.vnpt-technology.vn/storage/photos/shares/AnhSP_new/Cam_in_03/Asset%202vnt%20tab%208%20logo%20android.png,TD: Camera Gia Đình
